2020x,2020y,2010x,2010y,2000x,2000y
-0.80511,0.899983,-0.814669,0.899983,-0.816062,0.899983
-0.96678,0.796472,-0.973372,0.796472,-0.976721,0.796472
-0.963014,0.899934,-0.974344,0.899934,-0.973315,0.899934
-0.901084,0.899709,-0.920485,0.899709,-0.912758,0.899709
-0.815294,0.900000,-0.816419,0.900000,-0.821314,0.900000
-0.96756,0.899012,-0.971118,0.899012,-0.974439,0.899012
-0.843755,0.697816,-0.858503,0.69782,-0.85299,0.697822
-0.710726,0.880142,-0.728931,0.880142,-0.719377,0.880142
-0.826907,0.894816,-0.83718,0.894816,-0.833934,0.894816
-0.937957,0.885741,-0.945657,0.685741,-0.94162,0.685741
-0.768169,0.900000,-0.816849,0.900000,-0.773821,0.900000
-0.978377,0.894688,-0.984009,0.894688,-0.980908,0.894688
-10.17047,0.696865,-10.18341,0.696865,-10.17676,0.696865
-0.724399,0.689331,-0.741921,0.689331,-0.730376,0.689331
-0.637899,0.775938,-0.665394,0.775345,-0.651143,0.789801
-0.93697,0.893000,-0.95182,0.893000,-0.943075,0.893000
-0.754258,0.766138,-0.774329,0.766517,-0.758753,0.770376
-10.05335,0.896601,-10.05902,0.896601,-10.05487,0.896601
-0.953369,0.900000,-0.970117,0.900000,-0.957371,0.900000
-0.816617,0.894278,-0.860345,0.894278,-0.820537,0.894278
-0.939977,0.898551,-0.949175,0.898551,-0.941685,0.898551
-0.866916,0.799026,-0.877485,0.799026,-0.870252,0.799026
-0.822378,0.891135,-0.824397,0.891135,-0.824566,0.891135
-0.902183,0.899461,-0.933331,0.899461,-0.911824,0.899461
-0.88168,0.798181,-0.894561,0.798181,-0.88476,0.798181
-0.760223,0.650127,-0.780515,0.651470,-0.765476,0.682174
-0.998345,0.799228,-10.04496,0.799228,-0.999538,0.799228
-0.811165,0.887607,-0.821489,0.887607,-0.811978,0.887607
-0.883854,0.899352,-0.923859,0.899352,-0.886351,0.899352
-0.865578,0.897021,-0.872609,0.897021,-0.866292,0.897021
-0.699757,0.894567,-0.728051,0.894567,-0.707254,0.894567
-0.885777,0.889927,-0.891409,0.889927,-0.886752,0.889927
-0.727104,0.446559,-0.746342,0.435539,-0.732013,0.753411
-0.839108,0.888684,-0.846004,0.888671,-0.839817,0.889145
-0.84504,0.694625,-0.856111,0.694625,-0.844739,0.694625
-0.989817,0.892165,-10.00808,0.892165,-0.992681,0.892165
-0.687638,0.898518,-0.722513,0.898518,-0.690454,0.898518
-0.901425,0.876444,-0.905883,0.876444,-0.901419,0.876444
